	ATA_1	ATA_2	ATA_3	HC_IgG_1	HC_IgG_2	HC_IgG_3	IFNa_1	IFNa_2	IFNa_3
ENSG00000078369	27161	33779	31584	22120	23327	27227	27490	24939	30648
ENSG00000231050	0	0	0	0	2	0	0	0	0
ENSG00000169885	0	2	12	4	12	16	10	4	12
ENSG00000178821	2	4	0	0	0	0	0	0	0
ENSG00000142609	0	2	0	0	0	0	0	0	0
ENSG00000233542	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	2	0	0	2
ENSG00000226969	0	0	0	0	0	0	0	0	0
ENSG00000067606	26	34	24	40	24	14	16	58	46
ENSG00000271806	0	16	0	0	0	0	0	0	0
ENSG00000182873	22	52	90	32	42	16	44	4	22
ENSG00000162585	872	938	632	638	700	787	1015	838	1058
ENSG00000234396	0	0	0	0	0	0	6	3	0
ENSG00000157933	4963	5933	4947	3945	4353	4743	4732	3902	4634
ENSG00000287356	6	14	0	14	12	6	16	12	22
ENSG00000116151	300	396	214	233	197	231	278	151	260
ENSG00000272161	0	0	0	0	0	0	0	0	0
ENSG00000269896	31	50	6	30	14	22	24	47	27
ENSG00000272420	8	6	6	10	34	0	12	26	8
ENSG00000157916	2265	2730	2817	1605	1988	2331	2350	1990	2663
ENSG00000157911	1120	1602	1260	749	972	1224	1238	1001	1313
ENSG00000149527	48	105	2	16	57	12	35	36	106
ENSG00000224387	0	0	12	2	0	0	4	0	2
ENSG00000229393	0	0	0	0	0	0	0	0	0
ENSG00000157881	736	1077	762	545	602	688	668	693	880
ENSG00000197921	0	0	0	0	0	2	0	0	4
ENSG00000272449	6	0	4	8	8	10	8	8	2
ENSG00000238164	24	56	22	24	14	18	10	32	12
ENSG00000157873	478	713	460	386	383	442	536	356	602
ENSG00000225931	12	20	0	4	8	0	6	6	0
ENSG00000228037	0	0	8	0	0	2	1	0	0
ENSG00000157870	782	1072	988	478	744	881	712	656	986
ENSG00000142606	0	14	43	18	0	4	7	6	0
ENSG00000237058	0	0	0	0	0	0	0	0	0
ENSG00000215912	12	47	20	10	2	0	8	8	2
ENSG00000285945	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0
ENSG00000177133	0	0	4	0	0	0	2	0	6
ENSG00000142611	0	2	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0
ENSG00000279839	0	0	0	0	0	0	0	0	8
ENSG00000272235	0	0	0	0	0	0	0	0	0
ENSG00000287828	0	0	0	0	0	0	0	0	0
ENSG00000286518	0	0	0	0	0	0	0	0	0
ENSG00000130762	52	84	20	22	20	6	11	36	22
ENSG00000272088	0	0	0	0	6	0	0	2	0
ENSG00000162591	3131	3699	2997	2321	2583	2790	3085	2712	3138
ENSG00000207776	0	0	0	0	0	0	0	0	0
ENSG00000238260	0	0	0	0	0	0	0	0	0
ENSG00000158109	3355	4272	2659	2594	2830	2930	3324	2653	3252
ENSG00000116213	716	716	543	569	596	596	585	612	688
ENSG00000078900	0	0	0	0	0	0	0	0	0
ENSG00000227589	0	0	0	0	0	0	0	0	0
ENSG00000235131	0	0	0	0	0	0	0	0	0
ENSG00000227372	534	722	502	440	398	482	620	380	622
ENSG00000162592	0	0	4	0	10	0	2	10	6
ENSG00000235169	8	0	8	4	2	22	8	4	0
ENSG00000130764	1350	2149	1694	1037	1205	1583	1484	1219	1996
ENSG00000266075	5	0	0	0	0	0	0	0	0
ENSG00000272153	0	2	0	0	10	0	0	0	8
ENSG00000116198	3979	4820	4769	3239	3528	4505	4166	3915	3517
ENSG00000169598	426	403	500	317	342	339	443	451	406
ENSG00000264428	20	8	0	6	2	34	15	4	8
ENSG00000198912	459	568	330	350	380	424	422	415	521
ENSG00000236423	14	38	14	20	10	14	32	16	52
ENSG00000233304	0	0	0	0	2	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0	0	0	2
ENSG00000284703	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	2	0	0	0	0	4	2
ENSG00000235054	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	4	0	0	0	0	0
ENSG00000196581	4	0	10	0	2	0	6	18	0
ENSG00000287586	0	0	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0
ENSG00000216045	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0	0	0	0
ENSG00000131697	558	619	657	472	506	336	557	596	858
ENSG00000266687	8	0	11	0	0	0	1	17	0
ENSG00000069424	259	100	174	163	169	218	196	135	148
ENSG00000116254	80	102	54	57	80	62	64	80	54
ENSG00000285629	6492	7625	8182	5146	5798	5433	6307	5510	5750
ENSG00000116251	8618	10394	10771	6756	7517	7231	8609	7325	7869
ENSG00000226944	3	0	0	4	0	0	0	0	2
ENSG00000158286	135	200	128	101	98	102	155	152	178
ENSG00000116237	3093	4100	3873	2120	2810	3214	3430	2846	3425
ENSG00000225077	6	14	0	4	0	8	6	8	12
ENSG00000173673	0	0	0	2	0	0	0	8	0
ENSG00000158292	146	145	128	108	108	240	192	126	112
ENSG00000097021	1911	2144	1937	1305	1442	1728	1933	1642	1952
ENSG00000271746	2	0	0	0	8	0	12	0	0
ENSG00000069812	652	948	958	631	656	746	672	596	762
ENSG00000187017	26	12	18	2	30	24	28	0	34
ENSG00000265392	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	3	0	0	0
ENSG00000215788	615	738	426	396	376	514	585	444	630
ENSG00000171680	2660	4408	2965	2103	2174	2626	2545	2432	2883
ENSG00000162408	3738	4287	4170	2760	3099	3364	3318	2915	3993
ENSG00000253022	0	0	0	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0	0	0	0
ENSG00000173662	0	0	0	0	0	0	2	0	0
ENSG00000204859	327	384	246	230	250	244	224	205	374
ENSG00000162413	1274	1668	1140	999	1252	1473	995	1135	1268
ENSG00000116273	640	816	980	554	540	775	674	728	586
ENSG00000041988	386	406	458	296	328	396	342	326	535
ENSG00000007923	2762	4303	3535	2268	2342	3114	2960	2733	3098
ENSG00000228750	0	0	0	0	0	0	0	0	0
ENSG00000239166	0	0	0	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	6	0	0	0
ENSG00000237436	10	0	6	0	4	0	0	0	0
ENSG00000171735	852	907	923	662	804	872	702	691	875
ENSG00000227950	0	0	0	0	0	0	0	0	0
ENSG00000237365	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	0	0	0	0	0	0	2	0
ENSG00000237728	0	0	0	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0	0	0	0
ENSG00000270171	0	0	0	0	0	0	0	0	0
ENSG00000270035	0	0	0	0	0	0	0	0	0
ENSG00000269978	0	0	0	0	0	0	4	0	0
ENSG00000049245	10273	11442	9877	6745	8837	9389	9584	8413	10120
ENSG00000269925	27	20	0	14	16	92	20	22	41
ENSG00000049246	322	338	217	154	167	210	237	232	402
ENSG00000236266	0	2	0	0	0	6	0	0	0
ENSG00000049247	0	0	0	0	0	0	1	0	4
ENSG00000049249	18	88	56	20	34	52	20	90	68
ENSG00000270330	0	0	4	0	2	0	0	0	0
ENSG00000116288	2339	3001	2524	1748	2164	2439	2369	2347	2734
ENSG00000200344	0	0	0	0	0	0	0	0	0
ENSG00000284747	18	0	28	19	8	10	4	12	14
ENSG00000284716	4	6	0	0	0	0	0	0	0
ENSG00000116285	3218	3787	3199	2461	2717	3034	3384	2867	2765
ENSG00000238290	0	8	4	6	6	2	10	3	4
ENSG00000232848	0	0	0	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0	0	0	0
ENSG00000227634	0	0	0	2	0	6	0	0	0
ENSG00000200975	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0
ENSG00000265414	0	0	0	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0	0	0	0
ENSG00000162426	26	78	16	56	34	44	44	68	116
ENSG00000252254	2	6	0	0	8	0	0	4	0
ENSG00000142599	5545	6247	4972	4328	4584	5566	5085	4585	5419
ENSG00000232912	2	0	0	8	10	0	0	0	0
ENSG00000221083	0	6	18	25	2	0	4	1	2
ENSG00000270282	0	0	0	0	0	0	0	0	0
ENSG00000234619	4	8	10	0	2	4	10	6	2
ENSG00000224315	28	0	2	9	2	26	26	20	2
ENSG00000222511	2	13	0	0	4	2	7	2	8
ENSG00000226545	0	0	0	0	0	0	0	0	0
ENSG00000228423	7	0	10	3	2	12	26	4	0
ENSG00000229716	0	0	0	0	0	0	0	0	0
ENSG00000074800	23697	36545	36469	19203	25090	27012	26458	24781	31709
ENSG00000230679	2	0	0	0	0	0	0	0	0
ENSG00000201725	0	0	0	0	0	0	0	0	0
ENSG00000238249	2	0	0	0	0	0	0	0	0
ENSG00000232208	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0	2	0	0
ENSG00000142583	0	0	0	0	2	0	6	4	0
ENSG00000252404	0	0	0	0	0	0	0	0	0
ENSG00000180758	272	293	398	259	230	340	298	267	378
ENSG00000228526	617	624	296	592	470	502	607	416	709
ENSG00000207865	28	10	0	13	10	26	3	16	6
ENSG00000234546	132	136	269	148	96	104	172	157	231
ENSG00000049239	5292	6560	5062	4433	4539	5286	5435	4585	4942
ENSG00000252841	0	0	0	0	0	0	0	0	0
ENSG00000171621	2880	3418	2210	1987	1897	2338	2616	2139	2470
ENSG00000284652	16	6	34	16	8	12	28	26	10
ENSG00000284693	111	198	112	92	102	148	66	115	130
ENSG00000252956	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0	0	0	0
ENSG00000171612	283	392	441	258	378	296	323	278	452
ENSG00000231181	14	16	44	34	4	6	28	2	24
ENSG00000188807	595	612	499	384	451	613	496	557	636
ENSG00000171608	531	678	770	451	607	461	426	687	708
ENSG00000179840	0	0	0	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0
ENSG00000231789	4	0	0	0	0	6	2	7	0
ENSG00000171603	18827	23595	20582	15510	16059	18515	17820	16713	19544
ENSG00000271264	0	0	0	0	0	0	0	0	0
ENSG00000280113	6	0	0	0	0	0	0	0	0
ENSG00000178585	675	739	549	531	466	633	560	614	504
ENSG00000223989	0	0	24	6	0	0	0	4	0
ENSG00000285701	0	0	0	0	0	0	0	0	0
ENSG00000162441	3927	4870	4773	3012	2934	3776	3580	3277	4193
ENSG00000228150	3	0	0	0	9	0	2	8	0
ENSG00000173614	803	1126	657	581	675	598	784	623	650
ENSG00000202415	10	2	0	0	0	23	0	0	0
ENSG00000283611	0	0	0	0	0	0	0	0	0
ENSG00000265521	0	0	0	0	0	0	0	0	0
ENSG00000241326	68	58	56	45	46	30	76	79	52
ENSG00000162444	0	0	0	2	0	0	0	0	0
ENSG00000225786	0	0	0	0	0	0	0	0	0
ENSG00000130939	6152	7263	6006	5617	5532	6457	6531	5642	6031
ENSG00000224340	0	0	0	0	0	0	0	0	0
ENSG00000233623	5	0	0	0	0	0	0	0	0
ENSG00000201746	2	0	16	0	0	16	8	0	0
ENSG00000054523	9916	11141	11630	7612	8415	10013	9524	8544	10112
ENSG00000264881	0	0	0	0	0	0	0	0	0
ENSG00000199562	3	12	20	16	4	2	8	2	15
ENSG00000264501	142	158	232	153	184	147	151	136	203
ENSG00000284735	0	6	0	0	0	4	0	0	0
ENSG00000265945	2	0	0	0	0	0	0	0	0
ENSG00000284642	16	10	22	14	6	0	2	6	0
ENSG00000142657	16222	21996	19795	12622	14478	15765	15598	14512	18658
ENSG00000271989	0	0	0	0	0	0	0	0	0
ENSG00000251503	202	198	384	117	185	220	249	230	320
ENSG00000175279	194	230	378	141	196	222	279	230	334
ENSG00000241563	20	17	25	0	2	0	0	0	18
ENSG00000160049	3156	4174	4128	2524	3130	3527	3669	2989	3902
ENSG00000203469	6	0	0	4	0	0	0	0	0
ENSG00000142655	882	902	737	691	655	841	782	832	838
ENSG00000287727	0	0	0	0	0	0	0	0	2
ENSG00000243267	10	0	0	6	2	6	12	6	0
ENSG00000130940	68	84	113	92	98	107	84	84	68
ENSG00000272078	0	2	4	2	0	0	4	0	0
ENSG00000225158	0	0	0	0	0	0	0	0	0
ENSG00000175262	0	0	0	0	0	0	2	0	0
ENSG00000215785	2	0	0	0	6	0	0	0	0
ENSG00000264181	0	0	0	0	0	0	0	0	0
ENSG00000207213	0	0	0	0	0	0	0	0	0
ENSG00000120948	4664	5856	5342	3765	4102	4218	4470	4279	5275
ENSG00000009724	6	0	0	2	0	0	0	4	0
ENSG00000116649	938	1196	1186	748	926	714	946	770	1062
ENSG00000171824	5019	6323	6282	3920	4575	5469	4902	4237	5990
ENSG00000226849	6	14	0	8	2	8	4	0	6
ENSG00000230337	2	0	0	6	12	0	6	8	10
ENSG00000198793	6466	8242	6356	5607	6306	6722	6853	5664	7053
ENSG00000225602	0	8	0	0	2	0	0	0	0
ENSG00000253086	0	0	0	0	0	0	0	0	0
ENSG00000271794	0	0	0	0	2	0	0	0	0
ENSG00000171819	1	0	2	0	0	0	0	0	0
ENSG00000207451	0	0	0	0	0	0	0	0	0
ENSG00000238173	0	0	0	2	0	0	0	0	4
ENSG00000120942	1372	1501	1359	1021	1095	1508	1245	1178	1338
ENSG00000238199	0	0	0	0	6	0	6	0	2
ENSG00000284646	0	0	0	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0	0	0	0
ENSG00000204624	16	0	6	8	7	24	22	1	22
ENSG00000285833	0	0	0	0	0	0	0	0	0
ENSG00000235643	0	0	0	0	0	0	0	0	0
ENSG00000284708	0	0	0	0	0	0	0	0	0
ENSG00000116661	16	18	0	2	14	0	8	14	8
ENSG00000132879	161	328	172	220	200	124	250	214	186
ENSG00000116663	76	68	26	20	34	40	52	34	54
ENSG00000116670	310	247	252	206	226	280	302	254	280
ENSG00000162490	584	625	420	316	418	468	558	448	510
ENSG00000177674	376	306	204	311	371	372	265	232	317
ENSG00000215910	20	26	12	12	8	21	24	14	8
ENSG00000177553	0	0	0	0	0	0	0	0	0
ENSG00000177000	1555	1543	1326	1053	1301	1526	1620	1255	1463
ENSG00000011021	1288	1509	1140	1050	1047	1225	1266	1051	1524
ENSG00000175206	0	0	0	0	0	0	2	4	0
ENSG00000120937	0	0	0	0	0	0	0	2	0
ENSG00000224904	0	0	0	0	0	0	2	4	0
ENSG00000285646	20	38	18	8	4	4	6	12	4
ENSG00000199347	0	0	5	0	0	4	2	0	0
ENSG00000201801	6	0	0	0	0	10	0	8	0
ENSG00000116685	1597	1952	1378	1325	1120	1602	1600	1256	1389
ENSG00000083444	12182	15712	12546	9143	10268	11631	12913	11169	12415
ENSG00000287384	4	0	0	0	0	0	0	0	0
ENSG00000116688	8066	10762	10417	6676	7527	7909	8359	8031	9850
ENSG00000270914	0	0	0	0	0	0	0	0	0
ENSG00000116691	296	346	357	201	214	344	240	320	312
ENSG00000202461	0	0	0	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0	0	0	0
ENSG00000120949	0	0	0	0	10	0	0	0	0
ENSG00000201135	0	0	0	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0	0	0	0
ENSG00000028137	586	647	264	356	388	534	501	421	438
ENSG00000263676	0	0	0	0	0	0	0	0	0
ENSG00000225196	0	0	0	0	0	0	0	0	0
ENSG00000252969	0	0	0	0	0	0	0	0	0
ENSG00000048707	8025	9082	7826	6753	6841	8011	7250	6252	7411
ENSG00000239149	6	0	0	0	8	0	6	0	0
ENSG00000229484	0	0	0	2	0	0	0	0	2
ENSG00000162496	174	118	120	142	146	166	214	194	138
ENSG00000221340	0	0	0	0	0	0	2	0	0
ENSG00000272482	0	0	0	0	0	0	8	10	0
ENSG00000204518	0	0	0	8	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0	0	0	0
ENSG00000238771	0	0	0	0	0	0	0	0	0
ENSG00000157330	0	0	0	0	0	0	0	0	0
ENSG00000116726	0	0	0	0	0	0	0	0	0
ENSG00000116721	0	0	0	0	0	0	0	0	0
ENSG00000228338	0	0	0	0	0	0	0	0	0
ENSG00000204513	0	0	0	0	0	0	0	0	0
ENSG00000231103	0	0	0	0	0	0	0	0	0
ENSG00000179172	4	2	2	4	0	0	4	0	2
ENSG00000120952	0	0	0	0	0	0	0	0	0
ENSG00000243073	0	0	0	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	0	0	0	0	0
ENSG00000204510	0	0	0	0	0	0	0	0	0
ENSG00000207434	0	0	0	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0	0	0	0
ENSG00000232423	0	0	0	0	0	0	0	0	0
ENSG00000250894	0	0	0	0	0	0	0	0	0
ENSG00000204508	0	0	0	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0	0	0	0
ENSG00000270601	0	0	0	0	0	0	0	0	0
ENSG00000250113	0	0	0	0	0	0	0	0	0
ENSG00000204505	0	0	0	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0	0	0	0
ENSG00000229978	0	0	0	0	0	0	0	0	0
ENSG00000277862	0	0	0	0	0	0	0	0	0
ENSG00000236179	0	0	0	0	0	0	0	0	0
ENSG00000275774	4	0	0	0	0	0	0	0	2
ENSG00000229571	0	0	0	0	0	0	0	0	0
ENSG00000204503	0	0	0	0	0	0	0	0	0
ENSG00000233394	0	0	0	0	0	0	0	0	0
ENSG00000204502	0	0	0	0	0	0	0	0	0
ENSG00000231219	0	0	0	0	0	0	0	0	0
ENSG00000207511	0	0	0	0	0	0	0	0	0
ENSG00000182330	0	0	0	0	0	0	0	0	0
ENSG00000237700	0	0	0	0	0	0	0	0	0
ENSG00000204501	0	0	0	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0	0	0	0
ENSG00000279169	0	0	0	0	0	0	0	0	0
ENSG00000274178	0	0	0	0	0	0	0	0	0
ENSG00000204491	0	0	0	0	0	0	0	0	0
ENSG00000204488	0	0	0	0	0	0	0	0	0
ENSG00000204486	0	0	0	0	0	0	0	0	0
ENSG00000204485	0	0	0	0	0	0	0	0	0
ENSG00000224581	0	0	0	0	0	0	0	0	0
ENSG00000157358	0	0	0	0	0	0	0	0	0
ENSG00000204481	0	0	0	0	0	0	0	0	0
ENSG00000204480	0	0	0	0	0	0	0	0	0
ENSG00000204479	0	0	0	0	0	0	0	0	0
ENSG00000204478	0	0	0	0	0	0	0	0	0
ENSG00000162494	0	0	0	0	0	0	0	0	0
ENSG00000259961	0	0	0	0	0	0	0	0	0
ENSG00000215909	0	0	0	0	0	0	0	0	0
ENSG00000162493	0	0	0	0	0	0	0	0	0
ENSG00000222952	0	0	0	0	0	0	0	0	0
ENSG00000266358	0	0	0	0	0	0	0	0	0
ENSG00000237445	0	0	0	0	0	0	0	0	0
ENSG00000253085	0	0	0	0	0	0	0	0	0
ENSG00000116731	4902	5400	5646	3258	3850	4159	4744	4178	4640
ENSG00000189337	156	164	38	142	86	78	142	90	64
ENSG00000252151	0	0	0	0	0	0	0	0	0
